id	url	name	orgid	orgname
42172	Количество охотников	61	Министерство природных ресурсов и экологии Российской Федерации
42673	Количество памятников всего с учетом элементов	54	Министерство культуры Российской Федерации
57667	Количество пассажиров, перевезенных на  внутреннем водном транспорте	35	Федеральное агентство морского и речного транспорта
57666	Количество пассажиров, перевезенных на морском транспорте	35	Федеральное агентство морского и речного транспорта
59064	Количество пассажирских судов, в которых для инвалидов по зрению обеспечивается дублирование необходимой для ознакомления текстовой  и графической информации знаками, выполненными рельефно-точечным шрифтом Брайля	35	Федеральное агентство морского и речного транспорта
59063	Количество пассажирских судов, в которых для инвалидов по слуху обеспечивается дублирование необходимой звуковой информации доступными графическими средствами	35	Федеральное агентство морского и речного транспорта
59062	Количество пассажирских судов, в которых для инвалидов с нарушением функций опорно-двигательного аппарата обеспечиваются оснащение средствами для самостоятельного передвижения, входа и выхода, в том числе с использованием кресла-коляски, а также имеется в наличии специальное оборудование	35	Федеральное агентство морского и речного транспорта
59065	Количество пассажирских судов, оснащенных специальными техническими средствами и оборудованием, обеспечивающими доступность их для пассажиров из числа инвалидов и других лиц с ограничениями жизнедеятельности	35	Федеральное агентство морского и речного транспорта
58178	Количество первично оформленных свидетельств участника Государственной программы (за рубежом)	3	Министерство внутренних дел Российской Федерации
58180	Количество первично оформленных свидетельств участника Государственной программы (на территории Российской Федерации)	3	Министерство внутренних дел Российской Федерации
37021	Количество перевезенных грузов, почты	33	Федеральное агентство воздушного транспорта
37022	Количество перевезенных пассажиров	33	Федеральное агентство воздушного транспорта
37478	Количество персональных ЭВМ в образовательных организациях, реализующих программы общего образования	22	Министерство образования и науки Российской Федерации
37477	Количество персональных ЭВМ, использующихся в учебных целях, в образовательных организациях, реализующих программы общего образования	22	Министерство образования и науки Российской Федерации
34084	Количество персональных компьютеров	1	Федеральная служба государственной статистики
36200	Количество погибших, признанных потерпевшими	3	Министерство внутренних дел Российской Федерации
42416	Количество поданной жидкой стали на установки непрерывного литья заготовок	26	Министерство промышленности и торговли Российской Федерации
58295	Количество положительных решений (выданных документов, совершенных действий), принятых по результатам предоставления государственных услуг	69	Министерство экономического развития Российской Федерации
58294	Количество положительных решений (выданных документов, совершенных действий), принятых по результатам предоставления муниципальных услуг	69	Министерство экономического развития Российской Федерации
39515	Количество пользовательского оборудования, установленного в пунктах коллективного доступа, организованных в рамках программы по универсальному обслуживанию	18	Министерство связи и массовых коммуникаций Российской Федерации
44146	Количество посетителей объектов эколого-просветительской и туристической деятельности	1	Федеральная служба государственной статистики
43967	Количество посещений организаций культуры по отношению к уровню 2010 года	54	Министерство культуры Российской Федерации
42621	Количество поставленного угля на внутренний рынок	27	Министерство энергетики Российской Федерации
42620	Количество поставленного угля по основным потребителям	27	Министерство энергетики Российской Федерации
42393	Количество поставленных коксующихся углей на металлургические предприятия по угольным бассейнам	26	Министерство промышленности и торговли Российской Федерации
37331	Количество постоянных створов в водных объектах в местах водопользования населения	16	Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека
41945	Количество пострадавших в авиационных происшествиях	33	Федеральное агентство воздушного транспорта
36244	Количество пострадавших со смертельным исходом в результате зарегистрированных несчастных случаев на производстве	17	Федеральная служба по труду и занятости
33738	Количество построенных квартир	1	Федеральная служба государственной статистики
36202	Количество потерпевших (всего)	3	Министерство внутренних дел Российской Федерации
36197	Количество потерпевших - женщин	3	Министерство внутренних дел Российской Федерации
36201	Количество потерпевших - физических лиц	3	Министерство внутренних дел Российской Федерации
36199	Количество потерпевших, которым причинен тяжкий вред здоровью	3	Министерство внутренних дел Российской Федерации
39511	Количество почтамтов (кроме ПЖДП)	18	Министерство связи и массовых коммуникаций Российской Федерации
41235	Количество правонарушений по невыполнению предписаний органов государственного контроля (надзора)	36	Министерство финансов Российской Федерации
36221	Количество предварительно расследованных преступлений (из числа находившихся в производстве или зарегистрированных в отчетном периоде)	3	Министерство внутренних дел Российской Федерации
41854	Количество предварительно расследованных преступлений (из числа находившихся в производстве), совершенных в крупном или особо крупном размере либо причинивших особо крупный ущерб	62	Генеральная Прокуратура Российской Федерации
41855	Количество предварительно расследованных преступлений (из числа находившихся в производстве), совершенных организованной группой или преступным сообществом (преступной организацией)	62	Генеральная Прокуратура Российской Федерации
41853	Количество предварительно расследованных преступлений (из числа находившихся в производстве), уголовные дела о которых направлены в суд	62	Генеральная Прокуратура Российской Федерации
36176	Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде)	3	Министерство внутренних дел Российской Федерации
36214	Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), совершенных группой лиц	3	Министерство внутренних дел Российской Федерации
36213	Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), совершенных группой лиц по предварительному сговору	3	Министерство внутренних дел Российской Федерации
36212	Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), совершенных организованной группой	3	Министерство внутренних дел Российской Федерации
36211	Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве или зарегистрированных в отчетном периоде), совершенных преступным сообществом	3	Министерство внутренних дел Российской Федерации
41856	Количество предварительно расследованных преступлений в отчетном периоде (из числа находившихся в производстве)	62	Генеральная Прокуратура Российской Федерации
36217	Количество предварительно расследованных преступлений в отчетном периоде, связанных с наркотическими средствами, психотропными веществами и их аналогами, сильнодействующими веществами (из числа находившихся в производстве или зарегистрированных в отчетном периоде)	3	Министерство внутренних дел Российской Федерации
36219	Количество предварительно расследованных преступлений экономической направленности (из числа находившихся в производстве или зарегистрированных в отчетном периоде)	3	Министерство внутренних дел Российской Федерации
58157	Количество предварительно расследованных преступлений, связанных с незаконным оборотом наркотических средств, психотропных веществ и их прекурсоров или аналогов, сильнодействующих веществ, новых потенциально опасных психоактивных веществ	3	Министерство внутренних дел Российской Федерации
40427	Количество предварительно расследованных преступлений, связанных с незаконным оборотом наркотических средств, психотропных веществ и их прекурсоров или аналогов, сильнодействующих веществ, по данным ФСКН России (по 2015 год)	3	Министерство внутренних дел Российской Федерации
36220	Количество предварительно расследованных тяжких и особо тяжких преступлений (из числа находившихся в производстве или зарегистрированных в отчетном периоде)	3	Министерство внутренних дел Российской Федерации
38114	Количество предписаний, выданных по нарушениям земельного законодательства	9	Федеральная служба государственной регистрации, кадастра и картографии
31148	Количество предприятий и организаций	1	Федеральная служба государственной статистики
38127	Количество предприятий, организаций, хозяйств, обществ, занимающихся производством сельскохозяйственной продукции	9	Федеральная служба государственной регистрации, кадастра и картографии
33739	Количество предприятий, ответивших на вопросы анкеты в отчетном периоде (без субъектов малого предпринимательства)	1	Федеральная служба государственной статистики
38113	Количество предупреждений о возможном прекращении прав на землю, выданных при выявлении нарушений	9	Федеральная служба государственной регистрации, кадастра и картографии
41870	Количество прекращенных дознавателями дел	62	Генеральная Прокуратура Российской Федерации
41880	Количество прекращенных следователями дел с повторными	62	Генеральная Прокуратура Российской Федерации
36206	Количество преступлений (из числа предварительно расследованных), совершенных в состоянии алкогольного опьянения	3	Министерство внутренних дел Российской Федерации
36205	Количество преступлений (из числа предварительно расследованных), совершенных в состоянии наркотического опьянения	3	Министерство внутренних дел Российской Федерации
36204	Количество преступлений (из числа предварительно расследованных), совершенных в состоянии токсического опьянения	3	Министерство внутренних дел Российской Федерации
36207	Количество преступлений (из числа предварительно расследованных), совершенных лицами, ранее совершавшими преступления	3	Министерство внутренних дел Российской Федерации
36222	Количество преступлений экономической направленности, зарегистрированных в отчетном периоде	3	Министерство внутренних дел Российской Федерации
36224	Количество преступлений, зарегистрированных в отчетном периоде	3	Министерство внутренних дел Российской Федерации
36225	Количество преступлений, зарегистрированных в отчетном периоде	3	Министерство внутренних дел Российской Федерации
41857	Количество преступлений, зарегистрированных в отчетном периоде	62	Генеральная Прокуратура Российской Федерации
36218	Количество преступлений, зарегистрированных в отчетном периоде, связанных с наркотическими средствами психотропными веществами и их аналогами, сильнодействующими веществами	3	Министерство внутренних дел Российской Федерации
43786	Количество преступлений, предусмотренных ст. 111 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых умышленных причинений тяжкого вреда здоровью), по отношению к 2011 году	3	Министерство внутренних дел Российской Федерации
43785	Количество преступлений, предусмотренных ст. 162 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых разбоев), по отношению к 2011 году	3	Министерство внутренних дел Российской Федерации
43787	Количество преступлений, предусмотренных ст.ст. 105, 106, 107 УК РФ , в том числе с применением ч. 3 ст. 30 УК РФ, уголовные дела о которых впервые приостановлены по п.п. 1-3 ч. 1 ст. 208 УПК РФ (остаток нераскрытых убийств), по отношению к 2011 году	3	Министерство внутренних дел Российской Федерации
43344	Количество преступлений, связанных с незаконным оборотом наркотических средств, психотропных веществ и их прекурсоров или аналогов, сильнодействующих веществ, зарегистрированных в отчетном периоде, по данным ФСКН России (по 2015 год)	3	Министерство внутренних дел Российской Федерации
58158	Количество преступлений, связанных с незаконным оборотом наркотических средств, психотропных веществ и их прекурсоров или аналогов, сильнодействующих веществ, новых потенциально опасных психоактивных веществ, зарегистрированных в отчетном периоде	3	Министерство внутренних дел Российской Федерации
41852	Количество преступлений, уголовные дела о которых (из числа находящиеся в производстве) прекращены по основаниям, указанным в пп.1, 2 ч.1 ст. 24 УПК РФ	62	Генеральная Прокуратура Российской Федерации
57536	Количество преступлений, уголовные дела о которых (из числа находящиеся в производстве) прекращены по реабилитирующим основаниям	62	Генеральная Прокуратура Российской Федерации
41850	Количество преступлений, уголовные дела о которых (из числа находящиеся в производстве) приостановлены по основаниям, указанным в п. 4 ч.1 ст. 208 УПК РФ	62	Генеральная Прокуратура Российской Федерации
41851	Количество преступлений, уголовные дела о которых (из числа находящиеся в производстве) приостановлены по основаниям, указанным в пп. 1, 2, 3 ч.1 ст. 208 УПК РФ	62	Генеральная Прокуратура Российской Федерации
31155	Количество прибыльных предприятий и организаций	1	Федеральная служба государственной статистики
39510	Количество прижелезнодорожных почтамтов (ПЖДП)	18	Министерство связи и массовых коммуникаций Российской Федерации
37013	Количество принятой и отправленной почты	33	Федеральное агентство воздушного транспорта
58176	Количество принятых заявлений об участии в Государственной программе (за рубежом)	3	Министерство внутренних дел Российской Федерации
58179	Количество принятых заявлений об участии в Государственной программе (на территории Российской Федерации)	3	Министерство внутренних дел Российской Федерации
37015	Количество принятых и отправленных пассажиров	33	Федеральное агентство воздушного транспорта
41864	Количество принятых по сообщениям о преступлении решений о возбуждении уголовного дела	62	Генеральная Прокуратура Российской Федерации
41861	Количество принятых по сообщениям о преступлении решений о передаче по подследственности или подсудности	62	Генеральная Прокуратура Российской Федерации
41863	Количество принятых по сообщениям о преступлении решений об отказе в возбуждении уголовного дела	62	Генеральная Прокуратура Российской Федерации
41862	Количество принятых по сообщениям о преступлении решений об отказе в возбуждении уголовного дела за отсутствием события или состава преступления	62	Генеральная Прокуратура Российской Федерации
58378	Количество принятых решений о допуске к проверке знаний претендентов (экспертов) на право подготовки заключений экспертизы проектной документации и (или) результатов инженерных изысканий	29	Министерство строительства и жилищно-коммунального хозяйства Российской Федерации
58379	Количество принятых решений об отказе в допуске к проверке знаний претендентов (экспертов) на право подготовки заключений экспертизы проектной документации и (или) результатов инженерных изысканий	29	Министерство строительства и жилищно-коммунального хозяйства Российской Федерации
58773	Количество приобретенных организацией новых технологий (технических достижений), программных средств c 2017 г.	1	Федеральная служба государственной статистики
50234	Количество приобретенных организациями новых технологий (технических достижений), программных средств. по 2016 г.	1	Федеральная служба государственной статистики
42571	Количество проведенных выездных проверок организаций	37	Федеральная налоговая служба
42566	Количество проведенных выездных проверок организаций и физических лиц	37	Федеральная налоговая служба
42568	Количество проведенных выездных проверок организаций и физических лиц, выявивших нарушения	37	Федеральная налоговая служба
42572	Количество проведенных выездных проверок организаций, выявивших нарушения	37	Федеральная налоговая служба
43179	Количество проведенных камеральных проверок	37	Федеральная налоговая служба
42563	Количество проведенных камеральных проверок, выявивших нарушения	37	Федеральная налоговая служба
53258	Количество проведенных проверок	58	Федеральная служба по тарифам (упразднена Распоряжением Правительства РФ от 21 октября 2015 г. N 2113-р)
42583	Количество проведенных проверок по соблюдению организациями и индивидуальными предпринимателями законодательства Российской Федерации о применении контрольно-кассовой техники	37	Федеральная налоговая служба
42584	Количество проведенных проверок по соблюдению организациями и индивидуальными предпринимателями законодательства Российской Федерации о применении контрольно-кассовой техники, по которым установлены нарушения	37	Федеральная налоговая служба
38119	Количество проведенных проверок соблюдения земельного законодательства госземинспекторами	9	Федеральная служба государственной регистрации, кадастра и картографии
45561	Количество проведенных совместных конкурсов, аукционов для определения поставщиков (подрядчиков, исполнителей)	1	Федеральная служба государственной статистики
42742	Количество проверенных хозяйствующих субъектов, имеющих удостоверение допуска	32	Федеральная служба по надзору в сфере транспорта
42741	Количество проверенных хозяйствующих субъектов, имеющих удостоверение допуска, по жалобам	32	Федеральная служба по надзору в сфере транспорта
44472	Количество проверенных хозяйствующих субъектов, имеющих удостоверения допуска	32	Федеральная служба по надзору в сфере транспорта
43404	Количество проверок аудиторских организаций, проводивших аудит бухгалтерской (финансовой) отчетности общественно значимых организаций	36	Министерство финансов Российской Федерации
41172	Количество проверок юридических лиц в рамках государственного надзора за работами по активному воздействию на метеорологические и другие геофизические процессы	42	Федеральная служба по гидрометеорологии и мониторингу окружающей среды
41220	Количество проверок,  проводимых с привлечением экспертных организаций	36	Министерство финансов Российской Федерации
43153	Количество проверок, по результатам которых выявлены нарушения лицензионных требований	49	Федеральное космическое агентство (упразднено Распоряжением Правительства Российской Федерации от 7 февраля 2017 г. № 213-р)
41223	Количество проверок, предусмотренных ежегодным планом проведения проверок	36	Министерство финансов Российской Федерации
42140	Количество проверок, предусмотренных ежегодным планом проведения проверок на отчетный год	53	Федеральное медико-биологическое агентство
43154	Количество проверок, проведенных в отношении лицензиатов, в том числе по основаниям проведения внеплановых проверок	49	Федеральное космическое агентство (упразднено Распоряжением Правительства Российской Федерации от 7 февраля 2017 г. № 213-р)
41947	Количество проверок, проведенных в отношении юридических лиц, индивидуальных предпринимателей	33	Федеральное агентство воздушного транспорта
41226	Количество проверок, проведенных с нарушением требований законодательства о порядке их проведения, по результатам выявления которых к должностным лицам органов государственного контроля (надзора) и муниципального контроля применены меры дисциплинарного наказания	36	Министерство финансов Российской Федерации
41243	Количество проверок, проведенных совместно с другими органами государственного контроля (надзора)	36	Министерство финансов Российской Федерации
42727	Количество проверок, проведённых в отношении юридических лиц, индивидуальных предпринимателей	57	Федеральная служба по надзору в сфере природопользования
41219	Количество проверок, проводимых с привлечением экспертов	36	Министерство финансов Российской Федерации
41227	Количество проверок, результаты которых были признаны недействительными	36	Министерство финансов Российской Федерации
41189	Количество проверок, результаты которых были признаны недействительными	51	Федеральная служба по техническому и экспортному контролю
42141	Количество проверок, результаты которых были признаны недействительными	53	Федеральное медико-биологическое агентство
42328	Количество проданного  племенного скота	30	Министерство сельского хозяйства Российской Федерации
51626	Количество проданных на биржах товаров	1	Федеральная служба государственной статистики
42322	Количество проданных пушных зверей для племенных целей за год	30	Министерство сельского хозяйства Российской Федерации
43618	Количество проданных фьючерсных контрактов	1	Федеральная служба государственной статистики
42385	Количество произведенного агломерата, окатышей	26	Министерство промышленности и торговли Российской Федерации
42387	Количество произведенного чугуна	26	Министерство промышленности и торговли Российской Федерации
42405	Количество произведенных в конвертерах плавок	26	Министерство промышленности и торговли Российской Федерации
42409	Количество произведенных в электродуговых печах плавок	26	Министерство промышленности и торговли Российской Федерации
37367	Количество произведенных лекарственных средств	26	Министерство промышленности и торговли Российской Федерации
38115	Количество протоколов, оформленных и переданных на рассмотрение по нарушениям земельного законодательства	9	Федеральная служба государственной регистрации, кадастра и картографии
58410	Количество протоколов, оформленных и переданных на рассмотрение по нарушениям против порядка управления, государственной власти и общественного порядка	9	Федеральная служба государственной регистрации, кадастра и картографии
55961	Количество профессиональных директоров, избранных в органы управления акционерных обществ	40	Федеральное агентство по управлению государственным имуществом
38752	Количество профессиональных участников рынка ценных бумаг	48	Центральный банк
39505	Количество пунктов почтовой связи	18	Министерство связи и массовых коммуникаций Российской Федерации
42321	Количество пушных зверей забитых на шкурки	30	Министерство сельского хозяйства Российской Федерации
42825	Количество рабочих мест для инвалидов, созданных общественными организациями инвалидов, единиц в год	66	Министерство труда и социальной защиты Российской Федерации
40659	Количество рабочих мест на всех видах работ по производству товаров и услуг (в среднем за год) по 2016 г.	1	Федеральная служба государственной статистики
58992	Количество рабочих мест на всех видах работ по производству товаров и услуг (в среднем за год) с 2017 г.	1	Федеральная служба государственной статистики
37479	Количество рабочих мест с ЭВМ в кабинетах основ информатики и вычислительной техники в образовательных организациях, реализующих программы общего образования	22	Министерство образования и науки Российской Федерации
37323	Количество радиационных аварий	16	Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека
42417	Количество разлитых ковшей на установках непрерывного литья заготовок	26	Министерство промышленности и торговли Российской Федерации
33742	Количество размещений заказов на поставки товаров, выполнение работ, оказание услуг, признанных недействительными	1	Федеральная служба государственной статистики
33743	Количество размещений заказов на поставки товаров, выполнение работ, оказание услуг, признанных недействительными по решению органа по контролю	1	Федеральная служба государственной статистики
33744	Количество размещений заказов на поставки товаров, выполнение работ, оказание услуг, признанных недействительными по решению суда	1	Федеральная служба государственной статистики
41612	Количество разработанных индивидуальных программ реабилитации для детей-инвалидов в возрасте до 18 лет	66	Министерство труда и социальной защиты Российской Федерации
41614	Количество разработанных индивидуальных программ реабилитации для инвалидов в возрасте 18 лет и старше	66	Министерство труда и социальной защиты Российской Федерации
41899	Количество рассмотренных гражданских дел в апелляционном порядке районными судами (до 2012 года)	64	Судебный департамент при Верховном Суде Российской Федерации
41897	Количество рассмотренных гражданских и административных дел в апелляционном (до 2012 года в кассационном) порядке	64	Судебный департамент при Верховном Суде Российской Федерации
41901	Количество рассмотренных гражданских и административных дел по первой инстанции	64	Судебный департамент при Верховном Суде Российской Федерации
41895	Количество рассмотренных гражданских, административных дел в кассационном и надзорном порядках	64	Судебный департамент при Верховном Суде Российской Федерации
