id	url	name	orgid	orgname
57487	Бюджетные (внебюджетные) назначения по ФЦП (подпрограмме) на отчетный год (c I квартала  по III квартал 2016 г.)	1	Федеральная служба государственной статистики
57986	Бюджетные (внебюджетные) назначения по ФЦП (подпрограмме) на отчетный год (с IV квартала  2016 г.)	1	Федеральная служба государственной статистики
34114	Бюджетные (внебюджетные) назначения по программе (подпрограмме) на отчетный год	1	Федеральная служба государственной статистики
34115	Бюджетные (внебюджетные) назначения по программе (подпрограмме) на отчетный год	1	Федеральная служба государственной статистики
33570	Бюджетные (внебюджетные) назначения по программе за весь предшествующий период её реализации	1	Федеральная служба государственной статистики
33571	Бюджетные (внебюджетные) назначения по программе на текущий год	1	Федеральная служба государственной статистики
37405	Бюджетные ассигнования на социальное обеспечение населения, предусмотренные законом субъекта Российской Федерации (муниципальным правовым актом представительного органа муниципального образования) о бюджете на отчетный год	1	Федеральная служба государственной статистики
34116	Бюджетные назначения (из бюджета субъекта Российской Федерации ) по программе (подпрограмме) на отчетный год	1	Федеральная служба государственной статистики
40579	ВВП России на душу населения по паритету покупательной способности	1	Федеральная служба государственной статистики
40578	ВВП России по паритету покупательной способности	1	Федеральная служба государственной статистики
58250	Валовая добавленная стоимость в основных ценах (ОКВЭД 2)	1	Федеральная служба государственной статистики
30942	Валовая добавленная стоимость в основных ценах в соответствии с методологией СНС 1993 с частичными отклонениями	1	Федеральная служба государственной статистики
57404	Валовая добавленная стоимость в основных ценах в соответствии с методологией СНС 2008	1	Федеральная служба государственной статистики
37111	Валовая прибыль в соответствии с методологией СНС 1993 с частичными отклонениями	1	Федеральная служба государственной статистики
57627	Валовая прибыль в соответствии с методологией СНС 2008	1	Федеральная служба государственной статистики
58123	Валовая прибыль и валовые смешанные доходы	1	Федеральная служба государственной статистики
57394	Валовая прибыль и валовые смешанные доходы в соответствии с методологией СНС 2008	1	Федеральная служба государственной статистики
30943	Валовая прибыль экономики и валовые смешанные доходы в соответствии с методологией СНС 1993 с частичными отклонениями	1	Федеральная служба государственной статистики
37398	Валовая прибыль экономики и валовые смешанные доходы по регионам Российской Федерации	1	Федеральная служба государственной статистики
30944	Валовое накопление в соответствии с методологией СНС 1993 с частичными отклонениями	1	Федеральная служба государственной статистики
57361	Валовое накопление в соответствии с методологией СНС 2008	1	Федеральная служба государственной статистики
59010	Валовое накопление основного капитала без учета приобретения за вычетом выбытия ценностей	1	Федеральная служба государственной статистики
40399	Валовое накопление основного капитала в соответствии с методологией СНС 1993 с частичными отклонениями	1	Федеральная служба государственной статистики
57373	Валовое накопление основного капитала в соответствии с методологией СНС 2008	1	Федеральная служба государственной статистики
37089	Валовое накопление основного капитала на территории субъектов Российской Федерации	1	Федеральная служба государственной статистики
37099	Валовое сбережение в соответствии с методологией СНС 1993 с частичными отклонениями	1	Федеральная служба государственной статистики
57592	Валовое сбережение в соответствии с методологией СНС 2008	1	Федеральная служба государственной статистики
30946	Валовой внутренний продукт в рыночных ценах в соответствии с методологией СНС 1993 с частичными отклонениями	1	Федеральная служба государственной статистики
57319	Валовой внутренний продукт в рыночных ценах в соответствии с методологией СНС 2008	1	Федеральная служба государственной статистики
57389	Валовой внутренний продукт в рыночных ценах на душу населения в соответствии с методологией СНС 1993 с частичными отклонениями	1	Федеральная служба государственной статистики
57395	Валовой внутренний продукт в рыночных ценах на душу населения в соответствии с методологией СНС 2008	1	Федеральная служба государственной статистики
30947	Валовой национальный доход	1	Федеральная служба государственной статистики
40662	Валовой располагаемый доход в соответствии с методологией СНС 1993 с частичными отклонениями	1	Федеральная служба государственной статистики
57580	Валовой располагаемый доход в соответствии с методологией СНС 2008	1	Федеральная служба государственной статистики
33379	Валовой региональный продукт  в основных ценах	1	Федеральная служба государственной статистики
42928	Валовой региональный продукт на душу населения	1	Федеральная служба государственной статистики
30950	Валовой сбор сельскохозяйственных культур	1	Федеральная служба государственной статистики
